tweet_text,Liked,Sentiment,Score
Wow... Loved this place.,1,positive,0.671265006
Crust is not good.,0,negative,0.221296296
Not tasty and the texture was just nasty.,0,negative,0.230485901
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,positive,0.720221877
The selection on the menu was great and so were the prices.,1,positive,0.776984453
Now I am getting angry and I want my damn pho.,0,negative,0.060441248
Honeslty it didn't taste THAT fresh.),0,neutral,0.51190567
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,positive,0.709037602
The fries were great too.,1,positive,0.670040131
A great touch.,1,positive,0.85687387
Service was very prompt.,1,neutral,0.563971817
Would not go back.,0,negative,0.284394473
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,negative,0.074894421
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,positive,0.669299841
I was disgusted because I was pretty sure that was human hair.,0,negative,0.422114134
I was shocked because no signs indicate cash only.,0,negative,0.288224995
Highly recommended.,1,positive,0.719594836
Waitress was a little slow in service.,0,neutral,0.562113106
"This place is not worth your time, let alone Vegas.",0,negative,0.226775512
did not like at all.,0,negative,0.197304338
The Burrittos Blah!,0,positive,0.783940673
"The food, amazing.",1,positive,0.814313233
Service is also cute.,1,positive,0.737640798
I could care less... The interior is just beautiful.,1,positive,0.622044206
So they performed.,1,neutral,0.494061142
That's right....the red velvet cake.....ohhh this stuff is so good.,1,positive,0.737213492
They never brought a salad we asked for.,0,neutral,0.599679172
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,positive,0.633074045
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,negative,0.437259972
The worst was the salmon sashimi.,0,neutral,0.465782851
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,positive,0.837407768
This was like the final blow!,0,neutral,0.550447583
I found this place by accident and I could not be happier.,1,negative,0.111165628
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,positive,0.78210628
"Overall, I like this place a lot.",1,positive,0.785489559
The only redeeming quality of the restaurant was that it was very inexpensive.,1,neutral,0.595897615
Ample portions and good prices.,1,positive,0.754602194
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,negative,0.080618605
My first visit to Hiro was a delight!,1,positive,0.61646843
Service sucks.,0,negative,0.317981303
The shrimp tender and moist.,1,positive,0.712787092
There is not a deal good enough that would drag me into that establishment again.,0,negative,0.172005534
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,negative,0.018784605
"On a positive note, our server was very attentive and provided great service.",1,positive,0.782733381
"Frozen pucks of disgust, with some of the worst people behind the register.",0,positive,0.629925191
The only thing I did like was the prime rib and dessert section.,1,negative,0.439514637
It's too bad the food is so damn generic.,0,negative,0.102348372
